accuracy,loss,val_accuracy,val_loss
0.581818163394928,0.7820074558258057,0.6454545259475708,0.7098854780197144
0.5681818127632141,0.7928154468536377,0.6909090876579285,0.6378059983253479
0.6159090995788574,0.7286618947982788,0.7272727489471436,0.5869433879852295
0.6954545378684998,0.6036208271980286,0.7545454502105713,0.5488126873970032
0.6931818127632141,0.5889949202537537,0.7727272510528564,0.5080366134643555
0.75,0.5152424573898315,0.8363636136054993,0.4637127220630646
0.7522727251052856,0.469981849193573,0.8545454740524292,0.4237239360809326
0.7840909361839294,0.4412357211112976,0.8727272748947144,0.3906864523887634
0.7977272868156433,0.40762993693351746,0.8727272748947144,0.36493197083473206
0.8159090876579285,0.42607271671295166,0.8545454740524292,0.3385927975177765
0.8613636493682861,0.3574689030647278,0.9090909361839294,0.31592509150505066
0.8931818008422852,0.30754637718200684,0.9272727370262146,0.2932420074939728
0.8863636255264282,0.2950175106525421,0.9272727370262146,0.2761302590370178
0.8977272510528564,0.2656472623348236,0.9363636374473572,0.2635689675807953
0.8977272510528564,0.28470104932785034,0.9363636374473572,0.25417858362197876
